url,title,seendate,domain,language,sourcecountry,headline_mention,outlet_type
https://www.sfchronicle.com/sf/article/Kathy-Boudin-formerly-imprisoned-radical-leftist-17140432.php,"Kathy Boudin , formerly imprisoned radical leftist and mother of San Francisco D . A . Chesa Boudin , dies",20220502T020000Z,sfchronicle.com,English,United States,True,local
https://www.politico.com/newsletters/california-playbook/2022/04/27/newsoms-care-court-proposal-hits-some-snags-00028130,Newsom Care Court proposal hits some snags - POLITICO,20220427T153000Z,politico.com,English,United States,False,national
https://sfbayview.com/2022/04/the-fight-for-the-climate/,The fight for the climate,20220429T180000Z,sfbayview.com,English,United States,False,local
https://48hills.org/2022/04/two-misleading-anti-boudin-ads-are-going-to-hit-local-tv-this-week/,Two misleading anti - Boudin ads are going to hit local TV this week,20220426T224500Z,48hills.org,English,United States,True,unclassified
https://www.ijpr.org/politics-government/2022-04-27/mad-dash-at-california-capitol-as-big-deadline-looms,Mad dash at California Capitol as big deadline looms,20220427T210000Z,ijpr.org,English,United States,False,unclassified
https://www.sfchronicle.com/projects/2022/chesa-boudin-recall-election-timeline/,Here are the key moments leading to the Chesa Boudin recall election,20220503T160000Z,sfchronicle.com,English,United States,True,local
https://www.sfgate.com/politics/article/Chesa-Boudin-recall-ad-branded-lie-17150379.php,New ad blasts Chesa Boudin over drugs . There one problem . ,20220505T191500Z,sfgate.com,English,United States,True,local
https://www.sfchronicle.com/projects/2022/california-voter-guide-june/endorsements/,"California Voter Guide 2022 : SF Bay Area June election , Boudin recall",20220509T000000Z,sfchronicle.com,English,United States,True,local
https://www.sfchronicle.com/politics/article/San-Francisco-propositions-June-2022-17145892.php,San Francisco propositions 2022 : What on the ballot in June election,20220504T160000Z,sfchronicle.com,English,United States,False,local
https://www.ktvu.com/news/boudin-reaffirms-commitment-to-protect-chinatown-businesses-from-frivolous-ada-lawsuits,Boudin reaffirms commitment to protect Chinatown businesses from frivolous ADA lawsuits,20220507T033000Z,ktvu.com,English,United States,True,local
https://www.foxnews.com/media/california-san-francisco-da-drugs-crime-boudin,California county grapping with drug crisis calls on San Francisco DA to take action against offenders,20220506T181500Z,foxnews.com,English,United States,False,national
https://www.foxnews.com/us/san-francisco-thieves-caught-on-camera-walgreens,San Francisco shoplifting : Thieves caught on camera allegedly stuffing stolen goods in bags at Walgreens,20220503T094500Z,foxnews.com,English,United States,False,national
https://www.msn.com/en-us/news/crime/california-county-grapping-with-drug-crisis-calls-on-san-francisco-da-to-take-action-against-offenders/ar-AAWZXVI,California county grapping with drug crisis calls on San Francisco DA to take action against offenders,20220506T183000Z,msn.com,English,United States,False,unclassified
https://www.foxnews.com/politics/shaun-king-group-involved-save-san-francisco-da-boudin-recall-election,Shaun King group heavily involved in efforts to save far - left San Francisco DA Boudin from recall election,20220505T164500Z,foxnews.com,English,United States,True,national
https://www.sfchronicle.com/politics/article/chesa-boudin-recall-17151778.php,Chesa Boudin recall : What to know about S . F . June 7 election,20220506T011500Z,sfchronicle.com,English,United States,True,local
https://www.dailyrepublic.com/all-dr-news/opinion/local-opinion-columnists/mr-nice-guy-sf-da-recall-could-be-harbinger-of-citys-future/,Mr . Nice Guy : SF DA recall could be harbinger of city future,20220506T143000Z,dailyrepublic.com,English,United States,True,unclassified
https://www.sfchronicle.com/politics/joegarofoli/article/If-Chesa-Boudin-is-recalled-London-Breed-will-17155582.php,"If Chesa Boudin is recalled , London Breed will own San Francisco crime concerns",20220508T120000Z,sfchronicle.com,English,United States,True,local
https://www.sfchronicle.com/opinion/letterstotheeditor/article/Letters-If-you-want-to-drive-to-Golden-Gate-17143079.php,"Letters : If you want to drive to Golden Gate Park , you can . Only a small stretch of JFK Drive is car - free",20220503T120000Z,sfchronicle.com,English,United States,False,local
https://napavalleyregister.com/community/star/opinion/vantage-point-anna-anne-and-the-political-alphabet/article_df476d0e-ca4f-11ec-ad81-67f8456f9c03.html,"Vantage Point : Anna , Anne and the political alphabet",20220504T050000Z,napavalleyregister.com,English,United States,False,unclassified
https://lostcoastoutpost.com/2022/may/3/today-supes-board-agrees-send-revised-letter-sf-da/,TODAY in SUPES : Board Agrees to Send Revised Letter to SF DA About City  Open Air Drug Market  ,20220504T044500Z,lostcoastoutpost.com,English,United States,False,unclassified
https://sfist.com/2022/05/05/day-around-the-bay-stork-club-reopening-july-1-john-waters-will-be-there/,"Day Around the Bay : Stork Club Reopening July 1 , John Waters Will Be There",20220506T050000Z,sfist.com,English,United States,False,local
https://lostcoastoutpost.com/2022/may/6/opinion-puff-puff-pass-blame-hypocritical-humboldt/,"OPINION : Puff , Puff , Pass the Blame . Hypocritical Humboldt Hits Chesa Boudin on Drugs ( A View from San Francisco ) ",20220507T003000Z,lostcoastoutpost.com,English,United States,True,unclassified
https://lostcoastoutpost.com/2022/may/3/what-would-anne-marie-schubert-do-as-california-at/,What Would Anne Marie Schubert Do as California Attorney General ? ,20220503T153000Z,lostcoastoutpost.com,English,United States,False,unclassified
